Feature,Importance
V14,0.18209147730044442
V10,0.1341671308423483
V12,0.10885833333915543
V17,0.10859660188782988
V16,0.0835212770022936
V11,0.057426518569236196
V3,0.056402527775349334
V4,0.0503660157056406
V2,0.03459463348359585
V9,0.029123778624915726
V7,0.017842904289479548
V21,0.013833639482831847
V18,0.010596799687431512
V19,0.010368258512241137
V6,0.00866313840254505
Amount,0.008494029630587107
V5,0.007593465793449656
V8,0.007165493885081811
V22,0.0071187239189202944
V13,0.0071045174534781555
V27,0.006708248344202991
V15,0.006456104458968929
V20,0.00633950171312609
V1,0.006288231997369751
V26,0.0060881579433364
V23,0.005828585573981989
V28,0.005133216308579045
V25,0.004872535517484786
Time,0.004449156365407562
V24,0.003906996190687051
